fips   cps89 irspr89 irsnf89    fs89   cpsse     gvfse  fnlse   cps89 irspr89 irsnf89    fs89   cpsse     gvfse  fnlse   cps89 irspr89 irsnf89    fs89   cpsse     gvfse   fnlse   cps89 irspr89 irsnf89   SSI89   cpsse     gvfse   fnlse smpsize
 1  28.207 17.1270 10.5604 10.1539  5.0777 5.6619555 5.5940  22.497 22.7323 10.5604 10.1539  4.8388 3.6961602 3.7355 15.8226 17.1270 10.5604 10.1539  2.2250 1.9139932 1.78340 22.1111  5.8197 59.1224  9.7773  3.8589 3.5664548 3.57399     713
 2  15.411  7.8197 16.3899  3.2173  5.3130 4.3855182 4.5772  14.931  9.3762 16.3899  3.2173  3.2661 3.2800259 3.0404  8.4073  7.8197 16.3899  3.2173  1.6735 1.3568920 1.26858 10.3084  5.9484 32.5467  5.0534  5.2805 3.3406137 2.92921     777
 4  23.136 15.7662 14.2418  7.4935  4.7234 4.7818156 4.9430  24.315 22.2345 14.2418  7.4935  4.6794 4.0174420 3.8700 11.5421 15.7662 14.2418  7.4935  1.7538 1.5824702 1.64326  5.9150  5.8660 42.1297  2.2710  1.6378 1.8081524 2.29541     710
 5  29.474 19.2241 10.3110  9.0392  3.5329 4.9746226 4.8791  24.322 25.1246 10.3110  9.0392  3.2076 3.7394050 3.7187 14.0698 19.2241 10.3110  9.0392  1.3927 1.7269010 1.72624 20.0523  6.9098 55.8090  8.1506  4.1200 3.7124520 3.78538     787
 6  23.324 12.9749 16.8905  5.8663  1.9413 1.7819066 1.7861  19.936 18.9877 16.8905  5.8663  1.4165 1.3025368 1.2950 10.5156 12.9749 16.8905  5.8663  0.5457 0.5510500 0.54918  4.7503  5.1908 40.3870  9.7779  0.7054 0.7843782 0.88893    4953
 8  24.901 11.4751 11.9936  6.0031  9.5575 6.1377903 5.7009  14.694 14.0759 11.9936  6.0031  4.1076 3.1511663 3.2143  9.0928 11.4751 11.9936  6.0031  1.3071 1.3848664 1.40627 15.1863  7.1092 39.9212  2.6573  4.3553 4.9762657 4.15412     694
 9   2.557  5.8582 10.3292  3.5361  1.8258 2.0001890 4.2898   2.211  6.2030 10.3292  3.5361  0.9645 1.2163527 2.5348  2.1802  5.8582 10.3292  3.5361  0.5627 0.7214183 1.09823  6.9927  4.8438 38.1421  1.4690  2.0819 2.5946154 2.58986     525
10  18.435  9.2890  8.6962  4.4128  8.5843 5.6957230 5.3777  13.154 12.0623  8.6962  4.4128  5.0354 3.7228699 3.6401  7.2984  9.2890  8.6962  4.4128  1.3451 1.3041373 1.27769 15.4742  5.2292 39.7865  2.1241  3.4884 3.9703060 3.28055     575
11  27.987 12.0618 17.4164  9.0537  5.3928 5.8032922 5.5996  26.913 18.1110 17.4164  9.0537  6.0206 4.8949872 4.6740 13.6000 12.0618 17.4164  9.0537  1.8062 1.7564023 1.67251 23.4597  4.2016 44.7155  4.4858  3.9302 4.5014098 4.09466     633
12  25.861 14.5289 12.9809  5.3150  2.3377 2.4388061 2.3238  17.656 19.9542 12.9809  5.3150  1.6391 1.7518904 1.8080  9.7895 14.5289 12.9809  5.3150  0.5815 0.6526436 0.67483 11.4024  5.3437 42.2282  3.4079  1.0984 1.1188016 1.06344    3162
13  30.465 13.6886 13.2289  7.3416  4.5860 5.5074894 5.0671  21.823 18.7564 13.2289  7.3416  3.2797 3.9246974 3.7950 10.8953 13.6886 13.2289  7.3416  1.0832 1.5082105 1.50177 16.2543  5.2016 56.3596  7.9804  2.1203 3.4498870 3.65548     668
15  25.213  9.2736 11.1844  6.0479  7.0683 5.8832236 5.2607  15.163 10.5173 11.1844  6.0479  3.2475 3.7189931 3.4272  8.7748  9.2736 11.1844  6.0479  1.3391 1.4816798 1.35967 10.6662  7.8854 34.3699  4.3710  2.9279 2.9653002 2.42394     521
16  25.241 15.1726  9.5711  5.3827  4.4961 5.1605940 4.8852  11.629 18.5808  9.5711  5.3827  2.5571 2.6845087 3.1023 11.4538 15.1726  9.5711  5.3827  1.3396 1.4620311 1.43377  9.2123  7.6220 43.6046  1.5798  2.4560 2.5114697 2.56000     765
17  23.457 10.5242 11.3011  7.9754  2.6425 2.7692347 2.6478  19.362 13.1802 11.3011  7.9754  2.0892 1.9735840 1.8509  9.8779 10.5242 11.3011  7.9754  0.7923 0.7558556 0.73314 10.1612  7.7534 39.0000  2.1226  1.4109 1.3405823 1.29850    2442
18  31.464 11.2959  8.4015  4.9590  5.9501 6.2769005 5.1549  20.110 13.1938  8.4015  4.9590  4.1074 3.7196236 3.1964 10.5836 11.2959  8.4015  4.9590  1.7738 1.5353293 1.38834 10.4473  9.6185 41.0417  1.5033  2.1622 2.6624136 2.38143     693
19  14.340 11.2608  7.9136  5.5715  3.5652 3.7097197 4.0557  14.600 12.0425  7.9136  5.5715  2.8187 2.8394794 2.7331  8.8120 11.2608  7.9136  5.5715  1.0018 1.2012889 1.21268  8.1318  9.7987 36.8749  1.8393  2.2272 2.2545226 2.40560     749
20  20.268 10.9367 10.1198  5.1464  5.5008 5.0816484 4.8871  15.044 12.6672 10.1198  5.1464  2.8824 3.1014142 3.0123  8.4060 10.9367 10.1198  5.1464  0.9356 1.2404298 1.27413 10.1989  8.4866 37.8666  1.4909  1.3338 2.3224875 2.40115     759
21  24.080 15.8176 13.8761 11.3614  6.0095 5.8295737 6.1482  18.467 19.9936 13.8761 11.3614  1.9243 3.6534066 3.9763 13.5971 15.8176 13.8761 11.3614  1.5336 1.6652018 1.69041 22.0906  7.3518 54.8558  6.4242  2.3559 4.2820941 3.99905     652
22  41.723 19.1423 15.4155 15.7320  5.7166 6.5375867 6.3283  31.018 26.1186 15.4155 15.7320  4.8152 4.7850329 4.7261 17.6434 19.1423 15.4155 15.7320  2.1286 2.1315091 2.11021 28.5780  5.8772 56.8971  8.8833  4.0120 4.0993853 3.81530     570
23  19.452 11.1039  8.3925  6.7098  4.3682 4.9724843 4.9361  12.660 12.6063  8.3925  6.7098  3.1698 3.0819444 3.1650  8.1531 11.1039  8.3925  6.7098  1.1746 1.4346163 1.46482 12.5927  5.9847 48.4371  4.2906  3.5170 3.3892344 3.36951     591
24  20.774  7.9866 11.3494  4.8247  4.8913 4.8936949 4.4794  11.298  9.9046 11.3494  4.8247  2.6333 3.0955376 3.2022  7.1158  7.9866 11.3494  4.8247  0.9780 1.2997869 1.26277  9.1910  4.3179 42.1632  2.7094  2.6170 2.8150348 2.98572     599
25  17.207  6.7419 12.9236  5.1338  2.6545 2.5530315 2.4936  13.182  7.6316 12.9236  5.1338  1.6833 1.7503880 1.7346  6.3647  6.7419 12.9236  5.1338  0.5889 0.6289769 0.64514 10.6587  4.8789 43.7166  5.7920  1.3186 1.5796680 1.40641    2243
26  25.726  9.4538 14.5107  8.8643  2.3908 2.7345175 2.5803  18.160 11.1620 14.5107  8.8643  1.8985 1.8921004 1.8474 10.8945  9.4538 14.5107  8.8643  0.7905 0.7975802 0.76131  8.3326  7.2958 42.2836  2.4108  1.1398 1.2991043 1.35757    2371
27  20.235  8.8306  9.6545  5.3902  5.1767 5.1238599 4.7565  16.857  9.6067  9.6545  5.3902  5.0504 3.7542509 3.2994  8.9837  8.8306  9.6545  5.3902  1.7639 1.4879540 1.39122  8.5287  6.8719 42.8498  1.7813  2.7082 2.8827725 3.22867     614
28  36.434 22.7783 12.6365 17.6838  6.3961 5.3676308 5.4234  29.315 31.0816 12.6365 17.6838  2.6412 3.5027675 3.5868 16.5451 22.7783 12.6365 17.6838  1.9108 1.7409449 1.81852 25.8159  5.2429 64.5066 13.4656  4.5379 4.2752497 4.38184     779
29  20.289 13.0182  9.8619  7.5710  3.8775 4.8292049 4.9476  16.961 15.9833  9.8619  7.5710  3.8635 3.8079968 3.8122  9.6057 13.0182  9.8619  7.5710  1.4266 1.4225101 1.46506 14.9685  6.8620 46.0251  3.1441  2.0681 3.1014571 2.97387     658
30  21.255 16.8399 11.7397  6.3891  3.4235 4.4039096 4.6239  23.181 19.8701 11.7397  6.3891  4.3705 3.9314196 3.6874 12.9714 16.8399 11.7397  6.3891  1.3965 1.5128536 1.50901 11.3084  9.9871 38.2589  1.7488  2.3785 2.5548742 2.49297     793
31  23.153 12.2622  6.6103  5.4273  5.1713 4.7590146 4.3366  17.295 13.8172  6.6103  5.4273  2.7665 3.2357209 2.8971 10.5811 12.2622  6.6103  5.4273  1.0448 1.4213631 1.31548  9.5791  8.9870 38.1522  1.5613  2.0672 2.1754974 2.30222     761
32  19.791 10.5755 13.3839  3.7399  4.0841 4.4776780 4.3565  15.130 13.6032 13.3839  3.7399  2.9016 3.0975289 3.0128  9.1740 10.5755 13.3839  3.7399  1.1836 1.3743180 1.32121  6.6542  6.3267 39.6453  3.2245  1.8969 2.1284814 2.40275     650
33  13.146  7.5327  5.7716  2.2596  3.8760 4.3817531 4.1748   8.146  7.8865  5.7716  2.2596  2.8941 2.8844896 2.8487  5.9241  7.5327  5.7716  2.2596  1.2784 1.2345201 1.16177 13.3303  6.2119 40.2402  1.1379  3.0314 3.4783243 2.99818     506
34  14.889  7.3543 10.2405  4.4098  2.3860 2.3627175 2.3799  12.639  8.8016 10.2405  4.4098  1.6466 1.7260339 1.6760  6.4808  7.3543 10.2405  4.4098  0.6422 0.6177622 0.59766  7.1269  5.0953 40.9010  2.8490  1.2036 1.1571776 1.20851    2332
35  26.200 21.9803  9.8978  9.3291  3.2357 4.8008385 4.9959  27.452 28.6789  9.8978  9.3291  2.6532 3.2653407 3.2176 16.2740 21.9803  9.8978  9.3291  1.4082 1.6779026 1.66346 16.1226  8.0372 45.3399  5.6575  2.9243 3.3357938 3.23098     877
36  21.968  9.3828 16.8200  7.6270  1.8684 2.0571813 2.0516  18.930 12.4119 16.8200  7.6270  1.5613 1.3896651 1.3780  9.8237  9.3828 16.8200  7.6270  0.5582 0.5509439 0.54727 11.3135  5.2234 47.0545  4.8812  0.9246 1.1028513 1.06569    4440
37  16.770 13.0698  9.7474  5.6253  2.2032 2.4269199 2.6040  15.822 17.2656  9.7474  5.6253  1.9843 1.9258357 1.9819  9.2075 13.0698  9.7474  5.6253  0.6520 0.7080097 0.71986 20.6196  6.3850 54.3176  6.1072  1.9074 1.9184632 1.80945    2468
38  21.434 14.3698  7.9649  5.5441  3.9654 5.0390287 4.9387  12.971 15.6805  7.9649  5.5441  2.9902 3.6109639 3.9530 11.4488 14.3698  7.9649  5.5441  1.4413 1.5403259 1.51684  9.5057  8.9459 37.3600  2.4821  3.2558 2.6349023 3.11315     769
39  16.940 10.7103 10.7112  9.0842  1.9778 2.3687644 2.5877  15.206 12.3617 10.7112  9.0842  1.8959 1.8331688 1.8894  8.7085 10.7103 10.7112  9.0842  0.6874 0.6903117 0.72429  9.3090  6.7416 43.6134  1.6420  1.0863 1.2420829 1.22882    2532
40  22.168 15.9208 14.4682  7.6147  4.9705 5.0495346 5.3188  18.783 20.9318 14.4682  7.6147  2.2396 3.4888465 3.6626 12.7281 15.9208 14.4682  7.6147  2.1186 1.6889221 1.69027 13.2335  7.2912 49.1192  4.8287  1.5649 2.6060890 2.84471     691
41  22.995 12.0297 13.9514  6.9627  3.6424 5.0534820 4.9940  14.301 15.0499 13.9514  6.9627  2.3342 3.3497089 3.5027  9.5675 12.0297 13.9514  6.9627  1.3625 1.4810189 1.53551  6.3766  7.6566 41.1208  1.6224  1.6485 2.0912838 2.37931     610
42  16.086  9.9905 10.0449  7.2170  2.5198 2.3643128 2.5328  16.954 11.6911 10.0449  7.2170  1.9286 1.8906438 1.7942  8.2635  9.9905 10.0449  7.2170  0.6954 0.6830499 0.69800  8.4134  7.5373 44.9512  2.2754  1.1870 1.1558313 1.14499    2506
